src_uid,dst_uid,relation_type,relative_revenue,relative_revenue_percentage,depth,direction
a6552c54-688d-59bb-a564-5a3bd33bfa76,d580b949-c444-5daa-88c3-d10967d86896,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,eb3e0007-78a8-5297-9ce3-66a74de57cc1,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,092f6c4b-3f33-51e5-9d44-2fc3fda1754e,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,19fc67a3-6333-5f4e-93af-59b412947183,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,58dca2a3-aa3a-56ca-8393-dc1a11a06717,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,14e89da5-28df-5a69-9154-4fdac55d03f5,Supplier,,9.83,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,346bbf0a-6725-5b73-9284-ed39e3e04095,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,5de372c3-98d0-5dbb-b45e-af9321a82139,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,9a6a9536-bd2d-570a-bafb-9d1bcec86cd0,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,7c9aba3a-b14e-5164-ab8e-af4873f47ab1,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,8240d264-1e8f-5ee5-946b-056ddeb7b939,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,b66eaaa0-0517-5f15-a574-4c7f359422dd,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,a5156b95-97c5-5520-97b2-a5a6ff188905,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,a02851a7-bc07-53a5-b248-a4ff86ba1f65,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,bca970f6-0636-5da6-851d-1abd8500528e,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,a809bbd1-1abb-51b3-bd15-ae6b072431b8,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,d3049640-4d60-5e29-aca2-978d530a2973,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,a357f193-8e2b-510c-aa7b-c038e9108379,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,c1904afe-2d92-5963-bedc-3a4bea3b3442,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,0bfd545f-5c01-5461-b184-e532d7ab2357,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,0c8526fb-b43c-5a4d-bfb5-3293e05860ac,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,0e9c3923-6e3c-57f8-b4c0-e501e48051fd,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,1013427e-f17d-53c9-8940-282377ab5912,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,34099cf9-d867-59ab-9e7c-c09c11cbcd2f,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,5dd766c5-9664-5b72-bb8e-bf3639e501b4,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,72dbf663-1682-5f32-b025-c49bd945c294,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,7ddadf4d-04a0-551f-b218-163108f8e03b,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,88925dcb-631d-5f03-8e49-b4a8ff86959d,Supplier,,,1,suppliers
